name	revision	checkout	dirty
zmk-west-commands	main	536260056f362edb2092905f2a75317bc8cb9bc2	False
zmk	main+dya	e5c9b6915b56801193e359dd9bad4a167ce0d1b8	False
zephyr	v4.1.0+zmk-fixes+nrf-half-duplex-uart	7c6b4cc486ecb41a68d9c2b1def2bb3178fbb826	False
zmk-driver-pmw3610-with-custom-studio-rpc	main	5c34ea0eec246a1c986111417cd779b53144629a	False
zmk-feature-os-detection	main	3052679f645b8fc1997275c2eaa6b86bdd55ca01	False
zmk-feature-default-layer	codex/custom-rpc-rewrite	b25cb5b324da2d9bbc84e1877c775f5b2b7c6845	False
zmk-driver-animation	main	fa0479ec3b2fe04a96d9244e620d3c5dd2cfb280	False
zmk-driver-ext-power-transient	main	92b00e3acb438df77c374a2f79857a8406c41bed	False
zmk-module-ble-management	main	57738cc4fc6ba80e82a7ac57741a0339cb186cd4	False
zmk-module-battery-history	main	307755dd2ad4d320e14de162e8e5ef018f29d929	False
zmk-module-runtime-input-processor	main	43618985f8c9d5457cc333b7ca0733f2d361911e	False
zmk-module-settings-rpc	main	78f86df9e6c5edaf57bef3ccbd7f360cfdf49291	False
zmk-feature-input-stream	main	aeb015908a42a7615ccdccc7feb3a10d23132a71	False
zmk-feature-module-physical-layout	main	4f18de45dc27820725d267916b4cdacc0e0b6cf9	False
zmk-feature-custom-settings	main	c6a7fef3a3be3d3ace5de9a4b0628c6418cd1f3f	False
zmk-feature-runtime-combo	main	d9490e7b5d41c516221d131241009e81740efcee	False
zmk-feature-runtime-macro	main	38530962eb7061b60efcb98e84585cfb1f0cb6de	False
zmk-module-devtool	main	9938a2c73c06d6e65ba2c0b68c9aa044a467eafc	False
zmk-feature-studio-rpc-perf	main	b6ccb08cdc46e9e6341b0c42b97f78f05df0939e	False
zmk-feature-zephyr-setting-expose	main	5c89bc71122840ea46032fc241bef8665b99728a	False
zmk-feature-device-info	main	8cedd2dd9f04e19ea5a17b94914dd47a09d8db11	False
zmk-feature-kscan-diagnostics	main	1432f7fe0cfe903cd7d3c9931ae6bd6f2e1f328e	False
zmk-feature-watchdog	main	84ad14c6c3645dc40b23f45d08ab45418655f912	False
zmk-feature-fast-keymap	main	8dac76de0ba38588ba39ca498910e24f8332bc6b	False
hal_stm32	4fcc3a3f32abe1c4cb76d9d1cef967728dd03908	4fcc3a3f32abe1c4cb76d9d1cef967728dd03908	False
lvgl	f1db87ee98f1810328a8419572fa42a3b5f352ae	f1db87ee98f1810328a8419572fa42a3b5f352ae	False
zmk-studio-messages	89b81d2e587fce807b668dff2a6967a40beef421	89b81d2e587fce807b668dff2a6967a40beef421	False
canopennode	dec12fa3f0d790cafa8414a4c2930ea71ab72ffd	dec12fa3f0d790cafa8414a4c2930ea71ab72ffd	False
chre	3b32c76efee705af146124fb4190f71be5a4e36e	3b32c76efee705af146124fb4190f71be5a4e36e	False
lz4	11b8a1e22fa651b524494e55d22b69d3d9cebcfd	11b8a1e22fa651b524494e55d22b69d3d9cebcfd	False
